23441,Charming at Montmartre & rue Lepic- mobility lease,91706,Elise,,Buttes-Montmartre,48.88408,2.33478,Entire home/apt,70,30,87,2024-07-18,0.49,1,227,2,"Available with a mobility lease only (""bail mobilité"")"
24260,Lovely place near Champs Elysees,98012,Emmanuel,,Batignolles-Monceau,48.8809,2.30388,Entire home/apt,150,30,30,2017-08-11,0.17,3,344,0,7511709896091
25450,PARIS 10eme Luxury 2 Bed Apartment,105570,Florian,,Entrepôt,48.87007,2.36442,Entire home/apt,320,365,0,,,1,365,0,
25819,BBB : Bed & Breakfast Bouchardon,108444,Jozsef,,Entrepôt,48.87151,2.35737,Private room,,3,0,,,1,0,0,
26562,The Olympics as your neighbour !,107514,Judith,,Vaugirard,48.85357,2.29232,Entire home/apt,180,4,167,2024-08-04,0.96,1,4,1,7511500915333
26827,UN LOFT A PARIS BELLEVILLE,114407,Jrouma,,Buttes-Chaumont,48.87456,2.38532,Entire home/apt,97,7,80,2019-10-27,0.46,2,0,0,7512005333644
27288,"Beautiful, huge, very Parisian",77087,Simone,,Buttes-Chaumont,48.88564,2.37205,Entire home/apt,160,5,75,2024-05-03,0.46,1,85,5,7511900186931
27967,Nice haussmannian apt. Canal Saint-Martin area.,120508,Philippe,,Entrepôt,48.87081527709961,2.3632121086120605,Entire home/apt,250,6,23,2024-08-01,0.13,1,0,4,7511010572118
29386,Lovely garden studio in Butte-aux-Cailles village,126361,Marcolino,,Gobelins,48.82794375495768,2.3489524292177797,Entire home/apt,80,2,0,,,1,9,0,7511314277633
29853,Shayne's Amazing 15th Century Latin Quarter Garret,2883,Bruce,,Panthéon,48.8524,2.34508,Private room,120,1,76,2024-08-03,0.51,2,201,1,
31435,Stylish Private Suite + Sunny Balcony Paris,135024,Kay,,Buttes-Montmartre,48.89153,2.35359,Private room,80,4,122,2024-08-11,0.70,2,352,19,7511801517739
32082,BEAUTIFUL APARTMENT PARIS BASTILLE,138401,Michel,,Reuilly,48.85069,2.37311,Entire home/apt,185,3,427,2024-08-15,2.47,1,59,14,7511200970151
33210,PERFECT LOCATION! GREAT RATES! BEST,76961,Karen,,Palais-Bourbon,48.85652,2.32796,Entire home/apt,76,30,90,2022-06-12,0.52,1,319,0,"Available with a mobility lease only (""bail mobilité"")"
33814,"2/3 rooms70m2 PARIS quiet, bright, 2 big balconies",146066,Léna,,Observatoire,48.82399,2.32151,Entire home/apt,160,15,59,2023-10-07,0.34,1,345,1,7511400184395
34492,Belle Chambre avec vue Sacré Coeur,149014,Corinne,,Entrepôt,48.8777,2.3527,Private room,71,1,103,2024-09-10,0.59,1,12,8,
35065,Lovely Loft Saint-Germain des Pres,150876,Benoit,,Palais-Bourbon,48.85284,2.32517,Entire home/apt,270,1,879,2024-08-27,5.15,1,280,74,7510708233709
36221,Lovely DUPLEX apartment Montmartre,155516,Alex&Clem,,Buttes-Montmartre,48.88324,2.34448,Entire home/apt,200,3,4,2024-08-08,0.02,1,191,1,7511811901093
36490,Low budget in a residential area,156936,Christian,,Reuilly,48.8357,2.40168,Private room,,3,83,2019-01-18,0.49,1,0,0,7511201078435
36724,Romantic Flat in charming Parisian quater,72723,Candice,,Buttes-Chaumont,48.88092,2.39355,Entire home/apt,,4,28,2024-08-12,0.16,1,0,1,7511905511439
38303,Charming Flat on the roof,146581,Antoine,,Popincourt,48.86656,2.36826,Private room,,5,55,2024-08-01,0.33,2,0,14,
38650,Bastille/10m2 à la Roquette,153645,Marie-José,,Popincourt,48.85367,2.37656,Entire home/apt,76,7,26,2024-08-12,0.15,2,281,10,7511105303308
39651,Charming Studio close to Bastille,170325,Carole,,Reuilly,48.8491,2.38975,Entire home/apt,59,30,50,2021-09-16,0.29,1,120,0,7511100761629
39666,Paris 5 Star Luxury Ile Saint-Louis #7510404177410,170397,Judith,,Hôtel-de-Ville,48.852020263671875,2.356126070022583,Entire home/apt,910,2,51,2023-11-06,0.31,1,354,1,7510404177410
39948,COSY INDEPENDENT ROOM IN CENTRAL PARIS,171483,Aliyah & Philippe,,Bourse,48.87068,2.3446,Private room,90,5,135,2024-09-07,1.01,1,38,25,7510200734360
40143,Stylish & Design 1BR flat- Voltaire Bastille,172322,Emmanuelle,,Popincourt,48.85719,2.37831,Entire home/apt,,365,11,2017-04-16,0.06,1,0,0,
41106,"Comfort (oui) & style (?) in le Marais, what else?",177387,LetsgetSirius,,Hôtel-de-Ville,48.85634,2.35695,Entire home/apt,250,4,115,2024-08-04,0.67,1,266,10,7510400114395
42507,"Calm, Equipped, on the Canal, near Metro",142478,Yael,,Buttes-Chaumont,48.88849,2.37747,Entire home/apt,,12,58,2022-10-31,0.36,1,0,0,7511900800407
43027,Montmartre by foot ! Beautiful & cosy 70m2,187799,Charlotte,,Batignolles-Monceau,48.88565,2.32521,Entire home/apt,,3,61,2019-07-03,0.36,2,257,0,7511805202749
43055,Studio - centre de Paris (Le Marais),187863,Claire,,Hôtel-de-Ville,48.854829636490074,2.3602633849721983,Entire home/apt,110,2,223,2024-09-08,1.31,1,260,22,7510408913483
43355,STUDIO REPUBLIQUE  CANAL  ST MARTIN,187798,Chris,,Entrepôt,48.86954,2.36702,Entire home/apt,52,30,7,2019-06-08,0.05,1,72,0,"Available with a mobility lease only (""bail mobilité"")"
43500,Cosy one bedroom Montmartre Abesses village,152242,Delphine,,Buttes-Montmartre,48.88471,2.33941,Entire home/apt,196,30,3,2020-10-28,0.02,98,0,0,Exempt - hotel-type listing
44130,Marais Place des Vosges Sévigné,152242,Delphine,,Hôtel-de-Ville,48.85539,2.36306,Entire home/apt,186,3,78,2024-07-31,0.59,98,74,6,7500320130405
45630,room in anice 40m2 flat/great view!,202804,Regis,,Buttes-Montmartre,48.88946,2.35867,Private room,45,3,60,2024-04-11,0.35,1,74,3,
45661,"Very Heart of Paris, Charming",202918,Patrice,,Bourse,48.87006,2.34543,Entire home/apt,60,6,145,2024-08-10,0.86,1,172,5,7510200628254
45967,Palais Royal central 2 beds 450ft2,204922,Benoit,,Bourse,48.86711,2.34034,Entire home/apt,,5,34,2020-08-17,0.20,1,0,0,7510203007229
46666,Charming flat near Père-Lachaise!,209127,Julie,,Ménilmontant,48.85841,2.39655,Entire home/apt,90,4,36,2023-11-05,0.22,1,10,3,7512001167295
47155,Charming appartment in paris 16 ème,212393,Nina,,Passy,48.8445,2.25761,Entire home/apt,1500,7,50,2022-06-23,0.33,1,363,0,7511600972714
48498,Saint-Honoré Louvre Vendôme,152242,Delphine,,Louvre,48.86751965494359,2.331969013773704,Entire home/apt,182,3,40,2024-06-17,0.25,98,84,3,7500420130404
48584,Beautreillis Place des Vosges,152242,Delphine,,Hôtel-de-Ville,48.85316,2.36474,Entire home/apt,150,30,37,2018-09-15,0.23,98,364,0,"Available with a mobility lease only (""bail mobilité"")"
48592,Champs Elysées Amazing Franklin Roosevelt,152242,Delphine,,Élysée,48.87341,2.30778,Entire home/apt,247,3,41,2024-08-06,0.30,98,47,7,7510813102300
